start date: 	2016-02-19
start time: 	13.07.13
stop date: 	2016-02-19
stop time: 	13.20.42
com rel. humid (%):	35.0
com temp (°C):	26.50
cn temp (°C):	27.78
nv temp (°C):	31.81
remarks: 	
R1 Info: 	QHR
R2 Info: 	1445
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_009_1307.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_009_1307_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-41.137695312
delta (I2*R2) (V): 	3.0000

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	5.304000E-8	5.304000E-8	NaN
2	2.520000E-8	3.912000E-8	1.392000E-8
3	7.200000E-9	2.848000E-8	1.333411E-8
4	4.584000E-8	3.282000E-8	1.037954E-8
5	3.912000E-8	3.408000E-8	8.138088E-9
6	2.016000E-8	3.176000E-8	7.038091E-9
7	4.200000E-8	3.322286E-8	6.125512E-9
8	-1.320000E-8	2.742000E-8	7.862224E-9
9	1.872000E-8	2.645333E-8	7.000889E-9
10	5.760000E-9	2.438400E-8	6.594854E-9
11	3.648000E-8	2.548364E-8	6.065776E-9
12	6.144000E-8	2.848000E-8	6.295996E-9
13	5.136000E-8	3.024000E-8	6.052997E-9
14	2.160000E-8	2.962286E-8	5.637865E-9
15	3.336000E-8	2.987200E-8	5.254477E-9
16	3.144000E-8	2.997000E-8	4.916090E-9
17	4.656000E-8	3.094588E-8	4.719852E-9
18	4.536000E-8	3.174667E-8	4.521397E-9
19	7.464000E-8	3.400421E-8	4.836077E-9
20	2.736000E-8	3.367200E-8	4.599917E-9
21	1.872000E-8	3.296000E-8	4.432947E-9
22	6.240000E-8	3.429818E-8	4.433429E-9
23	3.456000E-8	3.430957E-8	4.236303E-9
24	3.912000E-8	3.451000E-8	4.060901E-9
25	5.064000E-8	3.515520E-8	3.948155E-9
26	4.296000E-8	3.545538E-8	3.805124E-9
27	3.312000E-8	3.536889E-8	3.662504E-9
28	1.032000E-8	3.447429E-8	3.640894E-9
29	2.664000E-8	3.420414E-8	3.523475E-9
30	3.576000E-8	3.425600E-8	3.404395E-9
31	2.952000E-8	3.410323E-8	3.296287E-9
32	3.576000E-8	3.415500E-8	3.192036E-9
33	8.352000E-8	3.565091E-8	3.436469E-9
34	4.824000E-8	3.602118E-8	3.354363E-9
35	4.896000E-8	3.639086E-8	3.278026E-9
36	3.480000E-8	3.634667E-8	3.185976E-9
37	2.976000E-8	3.616865E-8	3.103781E-9
38	1.656000E-8	3.565263E-8	3.064753E-9
39	5.736000E-8	3.620923E-8	3.036583E-9
40	2.544000E-8	3.594000E-8	2.971915E-9
41	2.688000E-8	3.571902E-8	2.906934E-9
42	3.816000E-8	3.577714E-8	2.837472E-9
43	5.208000E-8	3.615628E-8	2.796519E-9
44	2.688000E-8	3.594545E-8	2.740344E-9
45	2.016000E-8	3.559467E-8	2.701626E-9
46	5.640000E-8	3.604696E-8	2.680673E-9
47	4.200000E-8	3.617362E-8	2.626074E-9
48	3.360000E-8	3.612000E-8	2.571341E-9
49	4.272000E-8	3.625469E-8	2.521918E-9
50	3.816000E-8	3.629280E-8	2.471258E-9
51	4.560000E-9	3.567059E-8	2.500954E-9
52	6.168000E-8	3.617077E-8	2.502875E-9
53	2.952000E-8	3.604528E-8	2.458402E-9
54	4.272000E-8	3.616889E-8	2.415611E-9
55	5.424000E-8	3.649745E-8	2.393939E-9
56	3.960000E-8	3.655286E-8	2.351454E-9
57	5.904000E-8	3.694737E-8	2.343280E-9
58	3.216000E-8	3.686483E-8	2.304003E-9
59	1.872000E-8	3.655729E-8	2.285403E-9
60	2.856000E-8	3.642400E-8	2.250940E-9
61	5.520000E-8	3.673180E-8	2.235028E-9
62	-1.680000E-9	3.611226E-8	2.284304E-9
63	2.928000E-8	3.600381E-8	2.250368E-9
64	5.304000E-8	3.627000E-8	2.230865E-9
65	2.112000E-8	3.603692E-8	2.208608E-9
66	5.688000E-8	3.635273E-8	2.197696E-9
67	4.200000E-8	3.643701E-8	2.166286E-9
68	4.344000E-8	3.654000E-8	2.136675E-9
69	4.848000E-8	3.671304E-8	2.112580E-9
70	3.768000E-8	3.672686E-8	2.082227E-9
71	5.496000E-8	3.698366E-8	2.068692E-9
72	2.712000E-8	3.684667E-8	2.044353E-9
73	2.544000E-8	3.669041E-8	2.022200E-9
74	3.504000E-8	3.666811E-8	1.994810E-9
75	4.584000E-8	3.679040E-8	1.971829E-9
76	6.552000E-8	3.716842E-8	1.982093E-9
77	1.032000E-8	3.681974E-8	1.987014E-9
78	6.408000E-8	3.716923E-8	1.992268E-9
79	2.952000E-8	3.707241E-8	1.969270E-9
