start date: 	2023-05-30
start time: 	16.13.16
stop date: 	2023-05-30
stop time: 	16.29.24
com rel. humid (%):	33.7
com temp (°C):	28.10
cn temp (°C):	30.34
nv temp (°C):	34.59
bvd averages: 	     15
remarks: 	CCC ground via instr gnd, CMag-9T, B=9T, T=1.6K, I+=2, I-=13, V+=18, V-=7
R1 Info: 	NIST-QHREG13k-AF2
R2 Info: 	1215
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-05-30_CCC\230530_003_1613.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-05-30_CCC\230530_003_1613_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	24.566696025
delta (I2*R2) (V): 	1.000030519
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+2.423340E-07	1	0	
+2.261340E-07	1	0	
+2.240760E-07	1	0	
+2.383500E-07	1	0	
+2.200800E-07	1	0	
+2.320020E-07	1	0	
+2.223600E-07	1	0	
+2.334840E-07	1	0	
+2.414400E-07	1	0	
+2.246160E-07	1	0	
+2.480340E-07	1	0	
+2.275800E-07	1	0	
+2.341320E-07	1	0	
+2.429640E-07	1	0	
+2.281500E-07	1	0	
+2.469420E-07	1	0	
+2.236620E-07	1	0	
+2.381580E-07	1	0	
+2.476020E-07	1	0	
+2.249760E-07	1	0	
+2.520180E-07	1	0	
+2.387400E-07	1	0	
+2.470920E-07	1	0	
+2.532600E-07	1	0	
+2.302800E-07	1	0	
+2.609760E-07	1	0	
+2.450220E-07	1	0	
+2.460060E-07	1	0	
-2.705610E-06	4	0	
-3.617400E-06	4	8	
-1.332474E-06	4	0	
+2.203440E-07	2	0	
+2.488980E-07	2	0	
+2.612760E-07	2	0	
+2.485980E-07	2	0	
+2.620680E-07	2	0	
+2.601060E-07	2	0	
+2.739720E-07	2	0	
+2.806740E-07	2	0	
+2.626980E-07	2	0	
+2.764620E-07	2	0	
+2.721360E-07	2	0	
+2.696760E-07	2	0	
+2.922840E-07	2	0	
+2.632320E-07	2	0	
+2.842080E-07	2	0	
+2.748360E-07	2	0	
+2.780640E-07	2	0	
+2.877120E-07	2	0	
+2.745240E-07	2	0	
+3.067740E-07	2	0	
+2.723340E-07	2	0	
+2.921220E-07	2	0	
+2.882940E-07	2	0	
+2.799600E-07	2	0	
+3.031980E-07	2	0	
+2.883420E-07	2	0	
+3.021120E-07	2	0	
+2.931366E-06	3	0	
+3.666084E-06	3	8	
+1.748346E-06	3	0	
+2.994900E-07	1	0	
+3.030780E-07	1	0	
+3.034380E-07	1	0	
