start date: 	2023-08-08
start time: 	17.27.37
stop date: 	2023-08-08
stop time: 	17.48.46
com rel. humid (%):	33.7
com temp (°C):	29.18
cn temp (°C):	31.22
nv temp (°C):	35.41
bvd averages: 	     20
remarks: 	CCC probe connected to GaAs probe, GaAs 8 V+=Red, V-=Wht, I+=Wht, I-=Blk, B = 11.56 T (84.4 A), Psample = 3.0e-3 mbar
R1 Info: 	NIST-QHRGaAs13k-8
R2 Info: 	1218
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-08_CCC\230808_007_1727.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-08_CCC\230808_007_1727_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	-23.254107218
delta (I2*R2) (V): 	2.000061037
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+2.181840E-07	1	0	
+1.894020E-07	1	0	
+1.980600E-07	1	0	
+1.910520E-07	1	0	
+1.675740E-07	1	0	
+1.932840E-07	1	0	
+1.641180E-07	1	0	
+1.612860E-07	1	0	
+2.186160E-07	1	0	
+1.838580E-07	1	0	
+1.820400E-07	1	0	
+2.023920E-07	1	0	
+1.498740E-07	1	0	
+1.598100E-07	1	0	
+1.914840E-07	1	0	
+1.864980E-07	1	0	
+1.647060E-07	1	0	
+1.841220E-07	1	0	
+1.818660E-07	1	0	
+1.828740E-07	1	0	
+1.837020E-07	1	0	
+1.653420E-07	1	0	
+1.919700E-07	1	0	
+1.802160E-07	1	0	
+1.846200E-07	1	0	
+1.695480E-07	1	0	
+1.859160E-07	1	0	
+1.611480E-07	1	0	
+3.154992E-06	4	8	
+3.673284E-06	4	8	
+1.819512E-06	4	0	
+1.469040E-07	2	0	
+1.885800E-07	2	0	
+1.862580E-07	2	0	
+1.703940E-07	2	0	
+1.974360E-07	2	0	
+1.773300E-07	2	0	
+1.993320E-07	2	0	
+1.750560E-07	2	0	
+1.853160E-07	2	0	
+1.822080E-07	2	0	
+1.674180E-07	2	0	
+1.877760E-07	2	0	
+1.795500E-07	2	0	
+1.883640E-07	2	0	
+1.723260E-07	2	0	
+1.614420E-07	2	0	
+1.659420E-07	2	0	
+1.645140E-07	2	0	
+1.405380E-07	2	0	
+1.629720E-07	2	0	
+1.640040E-07	2	0	
+1.674120E-07	2	0	
+1.266180E-07	2	0	
+1.580340E-07	2	0	
+1.602780E-07	2	0	
+1.630440E-07	2	0	
+1.671420E-07	2	0	
-3.041130E-06	3	8	
-3.623772E-06	3	8	
-1.616664E-06	3	0	
+2.177400E-07	1	0	
+1.528260E-07	1	0	
+1.778340E-07	1	0	
+1.699440E-07	1	0	
+1.722840E-07	1	0	
+1.546260E-07	1	0	
+1.736460E-07	1	0	
+1.687380E-07	1	0	
+1.684200E-07	1	0	
+1.864680E-07	1	0	
+1.814040E-07	1	0	
+1.806360E-07	1	0	
+1.749600E-07	1	0	
+1.613940E-07	1	0	
+1.681320E-07	1	0	
